"RunDirectory","EvidenceFileCount","CompleteMarkerFound","BindingFileCount","SourcePath"
"run_116__alpha_1p0_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_116__alpha_1p0_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_117__alpha_1p0_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_117__alpha_1p0_seed_42__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_118__alpha_1p0_seed_42__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_118__alpha_1p0_seed_42__FEDLE_ADAPTED__CLEAN"
"run_119__alpha_1p0_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_119__alpha_1p0_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_120__alpha_1p0_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_120__alpha_1p0_seed_42__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_121__alpha_1p0_seed_42__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_121__alpha_1p0_seed_42__TEA_FL__CLEAN"
"run_122__alpha_1p0_seed_42__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_122__alpha_1p0_seed_42__TEA_FL__SIGNFLIP_MU0P2"
"run_123__alpha_1p0_seed_42__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_123__alpha_1p0_seed_42__TEA_FL__SIGNFLIP_MU0P4"
"run_124__alpha_1p0_seed_42__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_124__alpha_1p0_seed_42__ARL_FL__CLEAN"
"run_125__alpha_1p0_seed_42__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_125__alpha_1p0_seed_42__ARL_FL__SIGNFLIP_MU0P2"
"run_126__alpha_1p0_seed_42__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_126__alpha_1p0_seed_42__ARL_FL__SIGNFLIP_MU0P4"
"run_127__alpha_1p0_seed_456__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_127__alpha_1p0_seed_456__FEDAVG__CLEAN"
"run_128__alpha_1p0_seed_456__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_128__alpha_1p0_seed_456__FEDAVG__SIGNFLIP_MU0P2"
"run_129__alpha_1p0_seed_456__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_129__alpha_1p0_seed_456__FEDAVG__SIGNFLIP_MU0P4"
"run_130__alpha_1p0_seed_456__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_130__alpha_1p0_seed_456__FEDPROX__CLEAN"
"run_131__alpha_1p0_seed_456__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_131__alpha_1p0_seed_456__FEDPROX__SIGNFLIP_MU0P2"
"run_132__alpha_1p0_seed_456__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_132__alpha_1p0_seed_456__FEDPROX__SIGNFLIP_MU0P4"
"run_133__alpha_1p0_seed_456__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_133__alpha_1p0_seed_456__RANDOM_TRIMMED_MEAN__CLEAN"
"run_134__alpha_1p0_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_134__alpha_1p0_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_135__alpha_1p0_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_135__alpha_1p0_seed_456__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_136__alpha_1p0_seed_456__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_136__alpha_1p0_seed_456__FEDLE_ADAPTED__CLEAN"
"run_137__alpha_1p0_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_137__alpha_1p0_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_138__alpha_1p0_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_138__alpha_1p0_seed_456__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_139__alpha_1p0_seed_456__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_139__alpha_1p0_seed_456__TEA_FL__CLEAN"
"run_140__alpha_1p0_seed_456__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_140__alpha_1p0_seed_456__TEA_FL__SIGNFLIP_MU0P2"
"run_141__alpha_1p0_seed_456__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_141__alpha_1p0_seed_456__TEA_FL__SIGNFLIP_MU0P4"
"run_142__alpha_1p0_seed_456__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_142__alpha_1p0_seed_456__ARL_FL__CLEAN"
"run_143__alpha_1p0_seed_456__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_143__alpha_1p0_seed_456__ARL_FL__SIGNFLIP_MU0P2"
"run_144__alpha_1p0_seed_456__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_144__alpha_1p0_seed_456__ARL_FL__SIGNFLIP_MU0P4"
"run_145__alpha_1p0_seed_789__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_145__alpha_1p0_seed_789__FEDAVG__CLEAN"
"run_146__alpha_1p0_seed_789__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_146__alpha_1p0_seed_789__FEDAVG__SIGNFLIP_MU0P2"
"run_147__alpha_1p0_seed_789__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_147__alpha_1p0_seed_789__FEDAVG__SIGNFLIP_MU0P4"
"run_148__alpha_1p0_seed_789__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_148__alpha_1p0_seed_789__FEDPROX__CLEAN"
"run_149__alpha_1p0_seed_789__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_149__alpha_1p0_seed_789__FEDPROX__SIGNFLIP_MU0P2"
"run_150__alpha_1p0_seed_789__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_150__alpha_1p0_seed_789__FEDPROX__SIGNFLIP_MU0P4"
"run_151__alpha_1p0_seed_789__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_151__alpha_1p0_seed_789__RANDOM_TRIMMED_MEAN__CLEAN"
"run_152__alpha_1p0_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_152__alpha_1p0_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_153__alpha_1p0_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_153__alpha_1p0_seed_789__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_154__alpha_1p0_seed_789__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_154__alpha_1p0_seed_789__FEDLE_ADAPTED__CLEAN"
"run_155__alpha_1p0_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_155__alpha_1p0_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_156__alpha_1p0_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_156__alpha_1p0_seed_789__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_157__alpha_1p0_seed_789__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_157__alpha_1p0_seed_789__TEA_FL__CLEAN"
"run_158__alpha_1p0_seed_789__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_158__alpha_1p0_seed_789__TEA_FL__SIGNFLIP_MU0P2"
"run_159__alpha_1p0_seed_789__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_159__alpha_1p0_seed_789__TEA_FL__SIGNFLIP_MU0P4"
"run_160__alpha_1p0_seed_789__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_160__alpha_1p0_seed_789__ARL_FL__CLEAN"
"run_161__alpha_1p0_seed_789__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_161__alpha_1p0_seed_789__ARL_FL__SIGNFLIP_MU0P2"
"run_162__alpha_1p0_seed_789__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_162__alpha_1p0_seed_789__ARL_FL__SIGNFLIP_MU0P4"
"run_163__alpha_1p0_seed_999__FEDAVG__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_163__alpha_1p0_seed_999__FEDAVG__CLEAN"
"run_164__alpha_1p0_seed_999__FEDAVG__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_164__alpha_1p0_seed_999__FEDAVG__SIGNFLIP_MU0P2"
"run_165__alpha_1p0_seed_999__FEDAVG__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_165__alpha_1p0_seed_999__FEDAVG__SIGNFLIP_MU0P4"
"run_166__alpha_1p0_seed_999__FEDPROX__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_166__alpha_1p0_seed_999__FEDPROX__CLEAN"
"run_167__alpha_1p0_seed_999__FEDPROX__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_167__alpha_1p0_seed_999__FEDPROX__SIGNFLIP_MU0P2"
"run_168__alpha_1p0_seed_999__FEDPROX__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_168__alpha_1p0_seed_999__FEDPROX__SIGNFLIP_MU0P4"
"run_169__alpha_1p0_seed_999__RANDOM_TRIMMED_MEAN__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_169__alpha_1p0_seed_999__RANDOM_TRIMMED_MEAN__CLEAN"
"run_170__alpha_1p0_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_170__alpha_1p0_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P2"
"run_171__alpha_1p0_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_171__alpha_1p0_seed_999__RANDOM_TRIMMED_MEAN__SIGNFLIP_MU0P4"
"run_172__alpha_1p0_seed_999__FEDLE_ADAPTED__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_172__alpha_1p0_seed_999__FEDLE_ADAPTED__CLEAN"
"run_173__alpha_1p0_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_173__alpha_1p0_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P2"
"run_174__alpha_1p0_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_174__alpha_1p0_seed_999__FEDLE_ADAPTED__SIGNFLIP_MU0P4"
"run_175__alpha_1p0_seed_999__TEA_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_175__alpha_1p0_seed_999__TEA_FL__CLEAN"
"run_176__alpha_1p0_seed_999__TEA_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_176__alpha_1p0_seed_999__TEA_FL__SIGNFLIP_MU0P2"
"run_177__alpha_1p0_seed_999__TEA_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_177__alpha_1p0_seed_999__TEA_FL__SIGNFLIP_MU0P4"
"run_178__alpha_1p0_seed_999__ARL_FL__CLEAN","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_178__alpha_1p0_seed_999__ARL_FL__CLEAN"
"run_179__alpha_1p0_seed_999__ARL_FL__SIGNFLIP_MU0P2","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_179__alpha_1p0_seed_999__ARL_FL__SIGNFLIP_MU0P2"
"run_180__alpha_1p0_seed_999__ARL_FL__SIGNFLIP_MU0P4","4","True","0","C:\teste\tets\outputs\ciciot2023\scientific_campaign_180runs_v1\run_180__alpha_1p0_seed_999__ARL_FL__SIGNFLIP_MU0P4"
